english,chinese
"While the North Korean test this week was most likely a demonstration of a conventional weapons system, it suggested that Kim might resume nuclear and missile tests that he has suspended since November 2017. Earlier this month, he said the United States had until the end of the year to present a new proposal that would lift sanctions on the North.",虽然朝鲜本周的试验基本像是对已有武器体系的宣示，但它表明，金正恩可能会恢复他自2017年11月以来已暂停的核试验和导弹试验。本月早些时候，他曾表示，限美国在今年年底之前拿出一份取消对朝鲜制裁的新方案。
"In the meantime, Kim’s failure to secure sanctions relief has raised the question of how his supporters will respond.",与此同时，金正恩未能促成制裁取消也让人怀疑，他的支持者会如何回应。
"Even before the latest sanctions, monthly wages for the party and military elite were scarcely more than those of ordinary North Koreans. To supplement their state-provided income, they siphoned money from export industries and collected bribes from North Koreans seeking permission to work abroad or smuggle goods from China. Now, that income is drying up.",即使在最新几轮制裁之前，党员和军队干部的月工资也比普通朝鲜人高不了多少。为补贴国家发放的收入，他们从出口行业那里吸金，从寻求获准赴海外工作或从中国走私货物的朝鲜人那里收受贿赂。如今，这些收入正在枯竭。
"Adding to the officers’ humiliation, the sanctions have reduced their rations and forced their wives to help make ends meet as traders in the markets, defectors and economists say.",据脱北者和经济学家称，更令官员们羞愤的是，制裁导致他们的配给减少，迫使他们的妻子在集市上贩卖东西以补贴家用。
The struggles of the elite are a problem for Kim because he has staked his legacy not just on nuclear weapons but on making North Korea a “great socialist economic power.”,权贵阶层的困境对金正恩是个问题，因为他把他政治遗产的赌注不仅押在了核武器上，也押在了让朝鲜变成“伟大的社会主义经济强国”的愿景上。
"“The sanctions make it difficult for Kim Jong Un to execute the visions he has of bringing life into the economy once and for all,” said Benjamin Katzeff Silberstein, a fellow at the Philadelphia-based Foreign Policy Research Institute and editor of North Korean Economy Watch.",“制裁使金正恩难以实现他一举给本国经济注入生命力的愿景，”位于华盛顿的外交政策研究所(Foreign Policy Research Institute)研究员、网络媒体《朝鲜经济观察》(North Korean Economy Watch)编辑本杰明·卡策夫·希尔博斯坦(Benjamin Katzeff Silberstein)说。
"Though Kim still appears to be firmly in power, he could be threatened by unrest among the elites.",金正恩看起来仍牢牢掌握着权力，但他可能会受到权贵阶层躁动的威胁。
"“His biggest worry is that sanctions are squeezing the money flow for the elites, testing their loyalty,” said Joo Sung-ha, a North Korean defector who monitors the North as a journalist based in Seoul. “Losing the uniformed elites’ support means losing the bedrock of his rule.”",“他最大的担忧在于，制裁正在挤压精英们的经济来源，考验着他们的忠诚度，”以记者身份在首尔跟踪朝鲜局势的脱北者朱成夏（Joo Sung-ha，音）说。“失去步调一致的权贵的支持，意味着失去他执政的根基。”
"The state and market systems “are incompatible, given the different prices and wages each comes up with, so that strength in one often means weakness in the other,” said William Brown, a former CIA analyst who follows the North Korean economy.",国有体系和市场体系“互不相容，各自带来的价格和薪资水平皆不相同，因而其中一个的优势往往是另一个的弱势，”密切关注朝鲜经济的前中央情报局(CIA)分析师威廉·布朗(William Brown)说。
"That is apparent in the northeastern town of Musan, once the center of North Korea’s iron-ore production, where many donju investors have gone bankrupt since export routes were closed, said Ishimaru, the Japanese journalist. The miners, meanwhile, have been foraging for herbs to sell in the markets.",这一点在朝鲜北部城市茂山有充分体现。据日本记者石丸次郎称，自出口路径被关闭后，曾一度是朝鲜铁矿石生产中心的这里，有许多富有的投资者已破产。与此同时矿上的工人在寻觅草药拿到市场上卖。
"For now, there is no sign that the economy is reaching a breaking point, according to defectors in touch with their relatives in the North. The prices of rice, corn and fuel remain stable, and the won is holding steady against the U.S. dollar and Chinese yuan. North Korea also continues to conduct trade through illicit ship-to-ship transfers.",据与朝鲜亲戚保持联络的脱北者称，就目前而言，尚无迹象表明经济已濒临崩溃。大米、玉米和燃油价格依然稳定，朝鲜元对美元和人民币的汇率同样保持稳定。朝鲜还在继续通过不正规的船到船货物传送进行着贸易。
"But apartment prices in Pyongyang are declining, and the growing trade deficit with China is depleting North Korea’s foreign currency reserves. That lack of cash could put the government in a bind this summer, when the impact of what U.N. officials called the country’s worst harvest in more than a decade is most likely to be felt.",但平壤的住宅价格正在下降，同中国不断增长的贸易赤字也在耗尽朝鲜的外汇储备。现金的缺乏可能会令政府于今夏陷入困境，届时据联合国官员称为该国十年多来最严重的一次欠收极有可能会产生影响。
"“What he really wants, and needs, is dollars,” Brown said, referring to Kim’s attempt to get the sanctions lifted at the Vietnam meeting. “So he tossed the dice for a big win and lost his bet. I’m pretty sure he will be back for more negotiations soon.”",“他真正想要、急需的，是美元，”布朗说，他指的是金正恩在越南会谈中想要取消制裁的企图。“于是他掷了骰子，想大赢一把，结果赔了赌注。我相当确定，他不久就会回过头来举行更多会谈。”
"LADAKH REGION, India — In front of a tin-roofed house with the Himalaya Mountains rising behind it, about 300 wedding guests waited on a big green lawn, eager for the arrival of the bride and groom.",印度拉达克山区——这是一栋锡皮屋顶的房子，其后是巍峨的喜马拉雅山脉，300多名婚礼宾客聚集在房子前面的绿色草坪上，热切期待着新娘与新郎的到来。
"As the couple appeared, the guests formed a happy scrum around them, whisking them through the doorway and into the house. The rooms smelled of the coming feast: tandoori chicken, salty tea, fresh rolls and succulent goat meat cooked in yogurt and spices.",这对新人终于出现了，客人们欢快地围绕在他们周围，簇拥着他们走过门前的道路，进入房子。屋子里可以闻到香味，盛宴就要上桌了：坦都里烤鸡、咸茶、新鲜肉卷，还有用酸奶和香料烹制的嫩山羊肉。
But the bride’s entire family was conspicuously missing from the party.,但引人瞩目的是，新娘的所有家人都没有出席这场聚会。
"The bride, Stanzin Saldon, is from a Buddhist family, and the groom, Murtaza Agha, is a Muslim. Both grew up in Ladakh, a remote region of Jammu and Kashmir state in India. So what happens around here when a Buddhist woman falls for a Muslim man? Chaos.",新娘斯坦辛·萨尔顿(Stanzin Saldon)来自一个佛教家庭，新郎穆尔塔扎·阿迦(Murtaza Agha)则是穆斯林。拉达克是位于印度查谟和克什米尔邦的一个偏远地区，两人都在这里长大。在这个地方，如果一个信仰佛教的女人爱上一个穆斯林男子会发生什么事？答案就是：混乱。
"The young couple’s romance has spawned protests, shut down businesses, caused fistfights and pitted Muslim and Buddhist leaders against each other. The police have been forced to intervene, and so have the courts.",这对年轻夫妇的恋情引发了抗议活动，导致企业关闭和斗殴事件，令穆斯林和佛教领袖互相攻讦。警方和法院被迫进行干预。
"For several days the two even had to go on the run. They drove around the nearby Kashmir Valley, which is crawling with militants and soldiers, worried sick about being caught together.",两人甚至被迫逃亡了几天。他们开车在附近充斥着武装分子与士兵的克什米尔河谷一带徘徊，担心被人抓到他俩在一起。
"But Saldon, flush with fresh love, would do it all over again. “We found peace in a conflict region,” she said earnestly.",但是，萨尔顿脸上洋溢着爱情的喜悦，就算一切重来一次她也心甘情愿。“我们在一个冲突地区找到了和平，”她热切地说。
"The Buddhist-Muslim divide seems to be getting sharper in this part of the world. Neighboring Bangladesh is struggling to absorb hundreds of thousands of Muslim Rohingyas, an ethnic group from Myanmar, who recently fled atrocities by Myanmar’s military and Buddhist majority.",在这个地方，佛教徒与穆斯林之间的鸿沟似乎越来越深。邻近的孟加拉国正在努力接收数十万来自缅甸的穆斯林罗辛亚人，最近，由于缅甸军人和占多数的佛教徒的暴行，罗辛亚族人开始逃离那个国家。
"But to Saldon, 30, and Agha, 32, none of this mattered.",但是对于30岁的萨尔顿和32岁的阿迦来说，这一切都不重要。
"Theirs is a Ladakh love affair, through and through. They met on a college trekking trip to the Himalayas. They kept in touch. Agha, a government engineer, and Saldon, a social worker, both lived in the city of Jammu, south of Ladakh, and they couldn’t stop calling each other for coffee and lunch. Saldon said she could feel herself falling in love with the soft-spoken and gentle-mannered Agha. But she kept it a secret.",这是一桩拉达克恋情，从一开始就是如此。他俩在大学组织的一次喜马拉雅山徒步旅行中相遇。之后就一直保持联系。阿迦是工程师，在政府部门工作，萨尔顿则是社会工作者，两人都住在拉达克南部的查谟市，他们情不自禁地总是给对方打电话，约对方出来喝咖啡、吃午饭。萨尔顿说，她可以感觉到自己爱上了柔声细语、性情温和的阿迦。但她一直保守着这个秘密。
"After she was nearly killed in a rickshaw accident, though, she recalled, “It was Murtaza’s face that floated before my eyes. I decided life was too short and I should confess my love.”",后来她遭遇了一场三轮车车祸，差点死去，但她回忆说：“那个时候，穆尔塔扎的面孔浮现在我眼前。我觉得人生苦短，我应该坦白自己的爱。”
"Agha, who grew up in Kargil, couldn’t have been happier.",在格尔吉尔长大的阿迦知道后高兴极了。
"But when he told his family he wanted to marry a Buddhist girl from Leh, his father’s response was: Impossible.",但是当他告诉家人，自己想娶一个来自列城的佛教女孩时，父亲的回答是：不可能。
“Why marry a Leh girl?” his family kept asking. There were so many more Muslim options.,“为什么要娶一个列城女孩？”他的家人一直追问。明明有那么多穆斯林女孩可供选择。
"In July 2016, with help from one of Agha’s uncles, the couple held a very small private wedding under a clear blue sky by one of Kargil’s sparkling mountain streams.",2016年7月，在阿迦一个叔叔的帮助下，这对夫妇在格尔吉尔清澈的蓝天之下，在一条波光粼粼的山间小溪旁边，举行了一场非常小的秘密婚礼。
"Then they went back to their jobs, the world oblivious to their relationship. They maintained separate homes, planning to one day unite.",然后他们就回去工作了，整个世界都没有注意到他们的关系。他们维持着各自的家，计划总有一天能搬到一起。
"But soon their family members found out. While Agha’s people took it in stride, Saldon’s went berserk. They pulled her out of Jammu and locked her in the family home in Leh. Her father spat in her face, and later called on shamans to perform ceremonies to try to make her forget about Agha, she said.",但双方家人不久后就发现了他们的关系。阿迦的家人最终宽容地对待了这件事，萨尔顿的家人却狂怒不已。他们把她从查谟带回来，锁在列城的家里。她说，她的父亲冲她脸上吐口水，后来又找萨满举行仪式，试图让她忘记阿迦。
"Saldon said she lost 20 pounds. She was heartsick to be away from Agha and terrified of her father, who kept screaming at her.",萨尔顿说她体重减轻了20磅。离开阿迦让她伤心欲绝，她也害怕父亲，他一直在冲她尖叫。
"“I was totally cut off from the outside world,” she said. “I feared death as my father shouted, ‘Why did you not die no sooner than you were born?”’",“我被彻底同外界隔绝，”她说。“我父亲大叫，‘你为什么没有一生下来就死掉？’让我怕得要命。”
"One morning she sneaked out. She knew her family would chase her, so she went to court and won a restraining order demanding that they leave her alone.",一天早晨，她逃了出来。她知道家人会追捕她，所以去法庭申请了禁制令，要求他们远离她。
"But the problem was bigger than her family now, and things in Leh were about to get sticky.",但是现在的问题已经远不止于她的家人，列城的局面也开始变得棘手起来。
"The Buddhist community association was so outraged by the relationship, and the fact that Saldon had fled, that it sent young men stomping through Leh’s main bazaar, demanding that all the shopkeepers help bring her back. Buddhist toughs threatened taxi drivers and merchants from Kargil, telling them they weren’t allowed to work in Leh. A few men got into fistfights — all over a couple most of them didn’t even know.",佛教社区协会对他们的恋情感到愤怒，萨尔顿的逃跑刺激一些年轻男人冲进列城的主要集市，要求所有的店主都帮忙把她找回来。佛教暴徒威胁来自格尔吉尔的出租车司机和商人，告诉他们不许在列城工作。有些男人互相斗殴——这一切都是为了一对大多数人根本就不认识的情侣。
"Harsh Malhotra, chief coordinator for the Love Commandos, a voluntary Indian organization that helps couples fight off arranged marriages and deal with harassment from their families, said this case was getting attention across the country. But he wasn’t surprised.",“爱情突击队”(Love Commandos)是印度的一个志愿者组织，专门帮助情侣反抗包办婚姻，并处理双方家人的骚扰，其首席协调员哈什·马尔霍特拉(Harsh Malhotra)表示，这一案例吸引了全国各地的关注。但他并不对此感到惊讶。
"“Just as the Ganges flows freely, so, too, lovers of any caste, creed and sect,” he said.",“正如恒河自由自在地流淌，任何种姓、信仰与教派的恋人也会自由自在地相爱，”他说。
"This Ladakhi version of Romeo and Juliet was easy to politicize, he said, because the couple came from middle-class backgrounds and were perfect fodder for “those who consider themselves to be the self-appointed guardians of culture and society.”",他说，这对拉达克的罗密欧与朱丽叶很容易被政治化，因为他们有着中产阶级背景，为那些“自封为文化与社会的捍卫者们”提供了完美的靶子。
Leh has since calmed down. But the episode has put a little extra steam in the quest by some of Leh’s Buddhists to get more autonomy for the Ladakh region.,列城已经平静下来。但是，列城有一些佛教徒一直在谋求为拉达克地区争取更多的自治权，这场风波为他们增添了更多动力。
"As for the couple, they seem to have weathered this unscathed. She is hoping her parents will come around someday soon and welcome her and her husband with a hug.",至于这对夫妻，他们似乎毫发无损地度过了困境。萨尔顿希望父母能在不久的将来回心转意，用拥抱迎接她和她的丈夫。
"Catherine Chen was sitting in a pew at St. John Vianney Roman Catholic Church in Flushing, Queens, practicing. It was mid-April and she had just completed a run-through of what to do when the priest pours the Holy Water on her head later in the month. Fifty or so other Chinese catechumens — people who are joining the Catholic faith — accompanied by their sponsors, sat in the pews around her, listening to the instructions delivered from the altar.",凯瑟琳·陈(Catherine Chen)正坐在皇后区法拉盛的圣耀汗维亚内罗马天主教堂(St. John Vianney Roman Catholic Church)的长椅上练习。时值四月中旬，她刚刚完成的排练是，当神父在这个月晚些时候把圣水浇在她头上时，她该怎么做。约50名其他将加入天主教的华人新信徒在引领人的陪同下坐在她周围，听从祭坛上发出的指示。
This was their only rehearsal for the Easter Vigil.,这是他们为复活节守夜所做的唯一一次排练。
"“I think I might screw up,” she said in a low whisper. “I just hope I do well.”",“我担心自己可能会做错，”她低声说。“我只希望我做得好。”
"Across the country each year, more than 30,000 people officially join the Catholic Church on Easter Eve — a tradition that dates back to the early days of the church — by participating in the sacraments of initiation: baptism, holy communion and confirmation.",每年，全美国有3万多人在复活节前夕正式加入天主教会，这个复活节的传统可以追溯到天主教成立之初。新信徒需要参加由圣洗、领受圣餐和坚振组成的入教圣礼。
"Of the 500 or so converting in New York this weekend, about a third are Chinese immigrants, some of whom are seeking asylum based on religious persecution in China. Most of the Chinese immigrants live in Brooklyn and Queens, and they are having a transformative effect on local Catholic churches.",本周末在纽约皈依基督教的约500人中，约三分之一是中国移民，其中一些是因为在中国受到宗教迫害的寻求庇护者。大多数中国移民居住在布鲁克林和皇后区，他们正在给当地的天主教会带来变革性的影响。
"State control over religion remains strong in China, which has been known to monitor churches threateningly, if not raze some of them entirely, while harassing and sometimes imprisoning pastors and priests. Christians in particular faced severe persecution in 2018, the worst registered in 40 years, according to an annual report by ChinaAid, a Christian nonprofit.",中国政府对宗教保持着强有力的控制。大家知道中国政府用恐吓手段监控教会的情况，即使不是把它们彻底摧毁，也时常会骚扰甚至监禁牧师和神父。据基督教非营利组织“对华援助协会”(ChinaAid)的年度报告，中国基督徒在2018年面临的迫害尤为严重，是40年来最糟糕的。
"That said, religion is on the rise in China. Tens of millions now identify as Christians. Protestantism has swelled to what some believe to be as many as 115 million adherents, while Catholics represent a smaller group, with approximately 10 million.",尽管如此，中国信教的人数正在增长。目前有数千万人自认为是基督徒。按照某种估计，新教信徒人数已多达1.15亿，天主教徒的人数要少些，约为1000万。
These numbers have trickled down to immigrant communities in New York.,这些数字已经渐渐影响到纽约的移民社区。
"“As more and more Chinese immigrants come to America, we see our parish get bigger each year,” said Sister Monica Gan, who runs the initiations at St. John Vianney. The process, developed by the Catholic church, teaches the tenets of Christianity and Catholicism to those who want to convert, like Ms. Chen.",“随着越来越多的中国移民来美国，我们看到教区的人数每年都在增长，”甘曼妮修女(Sister Monica Gan)说，她负责圣耀汗维亚内堂的入教启蒙。入教启蒙是天主教会为陈女士这样想皈依的人传授基督教和天主教教义而设置的。
"In the early 1990s in Brooklyn, Father Norman Bennett, then a priest at Our Lady of Perpetual Help, in Sunset Park, recognized an opportunity to connect with Chinese immigrants who were steadily moving into the neighborhood. At the time, the majority of immigrants were Cantonese speakers, so Father Bennett started studying the language. It was the Sunday after Christmas, in 1995, when Father Bennett delivered Brooklyn’s first Mass in Chinese. About 25 people showed up.",20世纪90年代初，当时在布鲁克林日落公园(Sunset Park)的永助圣母堂(Our Lady of Perpetual Help)担任神父的诺曼·班内特(Norman Bennett)意识到了与中国移民建立联系的机会，这些移民正在逐渐搬入该社区。当时，大多数移民讲的是粤语，所以班内特开始学习粤语。1995年圣诞节后的那个礼拜日，班内特做了布鲁克林的首次中文弥撒。大约有25人到场。
"“I was very nervous and overwhelmed,” Father Bennett recalled. “My pronunciation wasn’t that good, and I was barely able to get through it all.”",“我非常紧张，有点不知所措，”班内特回忆道。“我的发音不是很好，勉勉强强做完了弥撒。”
"Now, more than two decades later, at least four churches in Brooklyn offer Mandarin and/or Cantonese services. Three of those offer Christian initiation programs in Mandarin. Our Lady of Perpetual Help has seen the greatest increase in those converting to Catholicism, with a nearly 160 percent jump in five years, according to records from the Diocese of Brooklyn.",20多年后的今天，布鲁克林至少有四所教堂提供普通话和粤语，或其中一种语言的服务。其中三所教堂提供普通话的基督徒入教课程。据布鲁克林主教辖区的记录，永助圣母堂皈依天主教的人数出现了最大增长，五年近160%。
"Local churches are simply adjusting to changing demographics, said Father Thomas Gaunt, executive director of the Center for Applied Research in the Apostolate at Georgetown University, an independent research group that studies the Catholic Church. “In neighborhoods like Brooklyn, people leave, but churches don’t,” he said. “Parishes there are trying to respond to the needs of the community.”",乔治城大学使徒应用研究中心(Center for Applied Research in the Apostolate at Georgetown University)执行主任托马斯·冈特(Thomas Gaunt)神父说，当地的教会只不过是在适应不断变化的人口结构。该中心是一个研究天主教会的独立机构。“在布鲁克林这样的社区，人会搬走，但教堂不会，”他说。“那里的教区正努力满足社区的需求。”
"Churches in Queens are adapting in a similar way. After years without a religious home, Chinese Catholics in the Flushing area settled at St. John Vianney in 2006. Now, daily Masses are celebrated there in Mandarin, with a Sunday morning Mass that is celebrated in both Mandarin and Cantonese. Five Christian initiation classes, taught in Mandarin, take place every week.",皇后区的教堂也在进行类似的调整。法拉盛地区的中国天主教徒多年来一直没有固定的礼拜场所，2006年，他们在圣耀汗维亚内堂安顿下来。现在，那里每天都有用普通话做的弥撒，周日上午有用普通话和粤语做的弥撒。每周有五个用普通话授课的基督教启蒙班。
"Ms. Chen made the decision to convert this past fall, after a friend persuaded her to attend Mass. Born in Fujian Province and now a permanent resident, Ms. Chen moved to Flushing 10 years ago, when she was 14. She wasn’t raised in a religious household, and she didn’t know what to expect.",去年秋天，经一位朋友的劝说参加了弥撒之后，陈女士做出了皈依的决定。她出生在福建省，现在是美国永久居民，10年前14岁时来到了法拉盛。她不是在信教家庭长大的，也不知道宗教是怎么回事。
"Together, they went to St John Vianney. “I never felt like that before,” Ms. Chen said. “I just started to believe that God really does exist.”",她和朋友一起去了圣耀汗维亚内堂。“我以前从未有过那种感觉，”陈女士说。“我开始相信上帝真的存在了。”
"Many of Ms. Chen’s classmates, however, particularly those who are recent arrivals from China, did not have such an open and accepting experience practicing Catholicism before starting the Christian initiation program in Queens. They described repressed lives in China, often spent in the shadows and attending underground churches, keeping their faith a secret to all but a select few.",不过，陈女士的许多同学，尤其是那些刚从中国来的同学，在皇后区开始基督教入教课程之前，在天主教信仰方面没有这种开放和被接受的经历。他们描述了在中国受压制的生活，经常只能暗地里参加地下教会的活动，在保密的情况下坚守信仰，除少数人外不让别人知道。
"Catherine Zhang came to the United States about a year ago from the Henan Province with her husband, Simon, to seek asylum, claiming religious persecution. Ms. Zhang, who spoke through a translator, said that she had been arrested in 2017 and held in police detention for participating in an “illegal religious activity,” what she described as a prayer and Bible study group.",大约一年前，凯瑟琳·张(Catherine Zhang)和丈夫西蒙(Simon)从河南省来到美国，以受到宗教迫害为由寻求庇护。她通过翻译说，自己曾在2017年因参加“非法宗教活动”遭到逮捕并被警方拘留，她说她参加的是一个祈祷和圣经学习小组。
"On Easter Eve, the Zhangs will undergo the sacraments of initiation.",这对夫妇将在复活节前夕参加入教圣礼。
"“Spiritually speaking, I am free,” Ms. Zhang said. “I am obtaining spiritual growth, and it is definitely worth it.”",“从心灵上来说，我是自由的，”张女士说。“我正在获得心灵上的成长，这绝对值得。”
"Last summer, an immigrant named Daniel, who asked that his last name not be used for legal reasons and also spoke through a translator, started to take Christian initiation classes at Our Lady of Perpetual Help in Brooklyn, when he wasn’t working as a dishwasher in a restaurant.",去年夏天，一个名叫丹尼尔(Daniel)的移民利用在餐馆里洗碗打工的闲暇，开始在布鲁克林的永助圣母堂上基督教启蒙课。出于法律原因，丹尼尔要求记者不要提及他的姓，对他的采访也是通过翻译进行的。
"He came to the country illegally, saying his “religious situation” in China threatened his mental health and strained his economic livelihood.",他非法来到美国，说他在中国的“宗教情况”让自己的精神健康受到威胁，经济上也难以为继。
"But stories like Daniel’s and Ms. Zhang’s led to a sweeping investigation by federal authorities that, in 2012, resulted in charges against at least 30 people of running an asylum mill in Flushing and in Chinatown. The mill coached clients to make up stories about religious persecution, among other fabricated claims, in order to win asylum. The cases of 13,500 immigrants, many of whom are Chinese, are currently under review, with threat of deportation.",但是，像丹尼尔和张女士这样的故事使得联邦当局做了一个全面调查。结果，在2012年，至少30人遭到起诉，他们被控在法拉盛和唐人街运作一个伪造庇护的工厂。为了获得庇护，这些人指导客户编造宗教迫害等虚假故事。目前有13500名移民（其中许多是中国人）的案件正在受到审查，他们面临着驱逐出境的威胁。
"“There is no evidence that recent Chinese Catholics in our diocese are not true believers and are just turning to us to help support their asylum applications,” said Adriana Rodriguez, of the Diocese of Brooklyn. “The Catholic Church has an extensive period of initiation and commitment,” she continued, arguing that those interested in immigration status only could opt for a “Christian church with a shorter period of conversion.”",“没有证据表明，我们教区最近的中国天主教徒不是真正的信徒，只是为了得到对他们庇护申请的支持，才向我们寻求帮助的，”布鲁克林教区的阿德里亚娜·罗德里格斯(Adriana Rodriguez)说。“入教和献身天主教会需要很长的时间，”她接着说。她认为，那些对移民身份感兴趣的人只会选择“皈依期较短的基督教会”。
"Daniel, who is currently seeking asylum, seems to have no problem with the lengthy process, along with its rituals. Though he was raised Catholic, he was never baptized. His baptism on Saturday marks more than just his official entry to the church; it symbolizes a new chapter.",正在寻求庇护的丹尼尔看来不在乎漫长的皈依过程及有关的礼仪。虽然他从小就是天主教徒，但从未受过洗礼。周六的洗礼不仅标志着他正式加入天主教，而且象征着生活的新篇章。
"“I wanted to start a new life here,” he said, “and by being baptized, I will be reborn.”",“我想在这里开始新的生活，”他说，“通过受洗，我将获得重生。”
"On Easter Sunday in Sri Lanka, coordinated bombings targeted churches, hotels and other sites, killing more than 200 people and wounding hundreds of others.",在周日复活节当天，斯里兰卡发生了针对教堂、酒店及其他地点的有组织的爆炸，造成200多人死亡、数百人受伤。
"The attacks in Sri Lanka, an island nation in the Indian Ocean, is the largest carried out on South Asian Christians in recent memory.",针对印度洋岛国斯里兰卡的这一连串袭击，是近些年对南亚基督徒实施的最大规模的袭击。
What we know about the attacks,关于袭击，我们已经知道的情况
"• The explosions began around 8:45 a.m. on Sunday, and the deadliest appeared to be at St. Sebastian’s Church in Negombo. The other churches attacked were St. Anthony’s Shrine in Colombo and Zion Church in Batticaloa. There were also explosions Sunday morning at three hotels in the capital city of Colombo: the Shangri-La, the Cinnamon Grand and the Kingsbury.",•	爆炸始于周日上午8点45分左右，死亡人数最多的似乎是尼甘布的圣塞巴斯蒂安教堂(St. Sebastian’s Church)。另两座遭到袭击的教堂包括科伦坡的圣安东尼圣堂(St. Anthony’s Shrine)和拜蒂克洛的锡安教堂(Zion Church)。周日上午，首都科伦坡的三家酒店也发生了爆炸：香格里拉(Shangri-La)、肉桂大酒店(Cinnamon Grand)和金斯伯里酒店(Kingsbury)。
"• More explosions followed in the afternoon, all in Colombo. The first was at the Tropical Inn, a small hotel not far from the national zoo in the suburb of Dehiwala. There was also at least one explosion at a housing complex in another suburb, Dematagoda.",•	下午又发生了更多起爆炸，全都在科伦坡。第一起是在郊区德希瓦拉的国家动物园附近一间名为热带旅馆(Tropical Inn)的小酒店。在郊区德马塔戈达的一片住宅区也发生了至少一起爆炸。
